no,title,date,attach_local,attach_orig
213,Smooth Start to the CM Supply Project in Indonesia,2018/05/14,180511.jpg,180511.jpg
212,Appointment of Non-standing Vice-Chairman,2018/05/14,,
211,Start of CM Supply Project in Indonesia,2018/05/14,Indonesia.jpg,Indonesia.jpg
210,"296th, 297th, 298th CM Professional Training",2018/04/25,0427.jpg,0427.jpg
209,2018 Annual Meeting of Committees for Business Sectors,2018/04/20,0419.jpg,0419.jpg
208,Apologies for Sending out the Newsletter in Korean,2018/04/09,180409.jpg,180409.jpg
207,1st Extraordinary General Meeting ... Reappointment of Chairman Bae Yung-hwi,2018/04/05,0404.jpg,0404.jpg
206,Korea-Vietnam Construction Cooperation Meeting,2018/04/05,180330.jpg,180330.jpg
205,Construction Contracts & Claim Management Professionals Training Program,2018/04/05,180326.jpg,180326.jpg
204,"[Thank you] ‘International CM Day’ Event, Embracing International CM in Seoul",2018/03/26,,
203,Publication of the final report on the CM Post-management Services in Vietnam(With 3 Countries),2018/03/26,,
202,2018 Defense Installations Agency Military Facilities Project Execution Plan Presentation,2018/03/26,,
201,MOU signing on 2nd (Fri) February at HUG office building near Seoul Station,2018/03/22,,
200,Notice on Final Successful Candidates in the Integrated 4th Construction Management Professiona,2017/12/22,,
199,Publishing the Sourcebook of 2017 Appraisal and Public Announcement of CM Capacity,2017/12/22,,
198,2018 Appraisal and Public Announcement of CM Capacity,2017/12/22,,
197,"The 12th CM Practitioners"" Night",2017/12/22,171214.jpg,171214.jpg
196,The 9th [Diagnosis of Issues in CM Categories] Presentation,2017/12/22,,
195,Entrance Ceremony of Construction Contract/Claim Expert Course,2017/12/22,171205.jpg,171205.jpg
194,The 12th CM Slogan Competition,2017/12/22,,
193,Korea-Vietnam CM Conference,2017/12/22,171124.jpg,171124.jpg
192,Policy Debate on “CM at Risk (CMAR)”,2017/12/22,171107.jpg,171107.jpg
191,MOU Signing with CPMC for Construction Industry Cooperation between China and Korea,2017/12/22,171103.jpg,171103.jpg
190,2nd Construction VE·LCC Committee Meeting for 2017,2017/12/22,,
189,The 14th CM Professionals Field Trip Discussion Meeting,2017/12/22,171026.jpg,171026.jpg
188,Attendance at 2017 CMAA National Conference & Trade Show,2017/12/22,171009.jpg,171009.jpg
187,CM Education in Busan,2017/09/22,170921.jpg,170921.jpg
186,Announcement of 2017 Construction Management (CM) Capacity Appraisal Results,2017/09/22,,
185,Seminar for changes in construction & real estate market and Urban Regeneration Projects,2017/09/22,170828.jpg,170828.jpg
184,Seminar for the outlook of domestic and overseas construction market in the second half of 2017,2017/08/22,170717.jpg,170717.jpg
183,"CM Professional Education Program in Naypyidaw, Myanmar and in Hanoi, Vietnam",2017/08/22,170710.jpg,170710.jpg
182,"Debate for 「20th anniversary of CM introduction in Korea, to the future, to the world!」",2017/06/25,170620.jpg,170620.jpg
181,MOU Signing with the Korean Commercial Arbitration Board (KCAB),2017/06/25,170607.jpg,170607.jpg
180,Seminar for Response Strategies of Zero Energy Building Market,2017/06/25,170525.jpg,170525.jpg
179,1st Education and Training Committee Meeting for 2017,2017/06/25,,
178,1st Construction VE·LCC Committee Meeting for 2017,2017/06/25,,
177,1st Construction Informatization Committee Meeting for 2017,2017/06/25,170418.jpg,170418.jpg
176,"MOU Signing with Daehan Real Estate Trust Co., Ltd",2017/06/25,170417.jpg,170417.jpg
175,"Started the post-management service for CM implementation projects in Vietnam, Myanmar and Cam",2017/06/25,,
174,The 20th CMAK General Meeting,2017/03/24,170324.jpg,170324.jpg
173,ConsMa 2017,2017/03/24,170314.jpg,170314.jpg
172,The 1st Board Meeting for 2016,2017/03/24,,
171,Meeting for Urban Regeneration Projects and our countermeasures,2017/03/24,170220.jpg,170220.jpg
170,"Seminar for 2017 Central defense facilities, military facilities implementation plans",2017/03/24,170209.jpg,170209.jpg
169,1st Investigation & Research Committee Meeting for 2017,2017/03/24,,
168,Announcing the names of the candidates who passed the 1st Construction Management Professional,2017/03/24,,
167,Discussion on finding ways to improve CM related systems in the Military Facility Projects,2017/03/24,170117.jpg,170117.jpg
166,2016 1st Construction Management Professional Qualification Examination,2016/12/26,,
165,"Invitational Visit to Korea by the Permanent Secretary of the Ministry of Construction, Myanmar",2016/12/26,161219.jpg,161219.jpg
164,The 8th [Diagnosis of Issues in CM Categories] Presentation,2016/12/26,161222.jpg,161222.jpg
163,Delivering the Korean CM System to Vietnam,2016/12/26,161216.jpg,161216.jpg
162,2017 CM Proficiency Assessment and Public Announcement,2016/12/26,,
161,Discussion with Mr. Han Chulgi from the National Defense Facilities,2016/12/20,161205.jpg,161205.jpg
160,Construction Projects EVMS Development Directions Seminar,2016/12/20,161202.JPG,161202.JPG
159,The 11th CM Slogan Competition,2016/12/20,,
158,Smart City Policy Briefing,2016/12/20,1122.jpg,1122.jpg
