no,title,date,attach_local,attach_orig
422,CM-Owner Partnership Day Successfully Held,2025/12/15,251030_7601.jpg,251030_7601.jpg
421,2025 1st Certified Construction Manager Examination-Written Test (Part 1) Administered,2025/09/24,250907.jpg,250907.jpg
420,CMAK Successfully Hosts Seminar on Construction Safety Response Measures,2025/09/24,250923.jpg,250923.jpg
419,Chairman Bae Yung-Hwi Attends the 34th IPMA World Congress in Berlin,2025/09/24,250919.jpg,250919.jpg
418,1st Overseas Expansion Committee Meeting Held,2025/09/24,250909.jpg,250909.jpg
417,2025 Construction Management (CM) Capability Evaluation,2025/09/11,250828.jpg,250828.jpg
416,Status of Public Construction CM Services in Q2 2025,2025/09/11,250702.jpg,250702.jpg
415,Seminar for Innovation in the Construction Industry,2025/06/13,250611.jpg,250611.jpg
414,Chairman Bae Yung-Hwi Attends ICPMA Conference,2025/06/12,250603.jpg,250603.jpg
413,CMAK Holds 2025 Compliance Committee Annual Meeting,2025/06/12,250528.jpg,250528.jpg
412,ConsMa 2025: Successful Conclusion of the 15th International CM Day and the 11th CM Seoul Forum,2025/06/05,250415.jpg,250415.jpg
411,CMAK and CIOB Sign MOU (3rd Extension),2025/06/05,250404.jpg,250404.jpg
410,Status of Public Construction CM Services in Q1 2025,2025/06/05,250402.jpg,250402.jpg
409,The video recordings of the ConsMa 2025,2025/04/16,,
408,ConsMa 2025: The 15th International CM Day & 11th CM Seoul Forum,2025/03/17,250414.jpg,250414.jpg
407,CM Seminar for Successful Sarieok Integrated Redevelopment Project,2025/03/17,250307.jpg,250307.jpg
406,CMAK Chairman Bae Yung-hwi Attends 「CMAA FOCUS 25」 in the U.S.,2025/03/17,250309.jpg,250309.jpg
405,For Acceleration of Digitalization and Convergence: CMAK is now IPMA Korea,2025/03/17,250305.jpg,250305.jpg
404,2025 28th Annual General Meeting,2025/03/10,250220.jpg,250220.jpg
403,Discussion with Mooyoung CM for CM Industry Development,2025/03/10,250212.jpg,250212.jpg
402,2025 1st Board of Directors Meeting,2025/03/10,250206.jpg,250206.jpg
401,2024 Public Construction CM Service Order Status,2025/03/10,2024CM.jpg,2024CM.jpg
400,CMAK Publishes the 2024 CM Competency Assessment & Disclosure Report,2024/12/23,CMAK03.jpg,CMAK03.jpg
399,"17th ""CM Professionals&quot; Night"" Celebration",2024/12/23,CMAK02.jpg,CMAK02.jpg
398,CMAK Signs Memorandum of Understanding with the Korea Specialty Contractors Association,2024/12/23,CMAK04.jpg,CMAK04.jpg
397,Announcement of Winners for the 19th Construction Management (CM) Slogan Competition,2024/12/23,CMAK01.jpg,CMAK01.jpg
396,Driving Innovation in CM: CMAK and Haeahn Architecture Hold Strategic Discussion,2024/12/16,241120.jpg,241120.jpg
395,18th CM Professionals Mountain Discussion Forum Held,2024/12/16,241108.jpg,241108.jpg
394,CMAK Announces Certified Construction Managers for 2024,2024/12/16,241206-2.jpg,241206-2.jpg
393,CMAK Participates in ‘CMAA 2024 National Conference & Trade Show’ in the U.S.,2024/12/16,CMAA_686.jpg,CMAA_686.jpg
392,2024 Q3 Public Sector CM Contracts Total KRW 1.61896 Trillion,2024/11/26,241004.jpg,241004.jpg
391,2nd Construction VE·LCC Committee for 2024,2024/09/10,240906.jpg,240906.jpg
390,1st Construction Management Certification Examination for 2024 - Part 1 Written Exam,2024/09/10,240901.jpg,240901.jpg
389,Disclosure of Construction Management (CM) Capability Evaluation for 2024,2024/09/10,240830.jpg,240830.jpg
388,Discussion on Construction Cooperation with the Ambassador of Kazakhstan,2024/09/10,240829.jpg,240829.jpg
387,Discussion on Construction Cooperation with the Ambassador of Bangladesh,2024/09/10,240802.jpg,240802.jpg
386,MOU Signing between CMAK and Korea Airports Corporation,2024/09/10,240710-1.JPG,240710-1.JPG
385,2024 2nd Quarter Public Construction CM Service Order Status,2024/09/10,240702.jpg,240702.jpg
384,Construction Management Application Conference to Improve the Efficiency of Maintenance Project,2024/06/20,240619eng.jpg,240619eng.jpg
383,“CM Work Guidebook” e-Book Published on the CMAK Website,2024/06/14,CM_guidebooks.jpg,CM guidebooks.jpg
382,2024 Compliance Committee Meeting,2024/06/14,240604eng.jpg,240604eng.jpg
381,2024 Meeting with Committee Chairpersons and Administrative Secretaries,2024/06/03,240514eng.jpg,240514eng.jpg
380,ConsMa 2024 14th International CM Day & 7th Global CM Contest,2024/06/03,240423eng.jpg,240423eng.jpg
379,2024 1st Quarter Public Construction CM Service Order Status,2024/06/03,240401eng.jpg,240401eng.jpg
378,"Bae Yung-hwi, Chairman of the CMAK, Re-elected as the 11th Chairman",2024/03/18,240314_CMAK03.jpg,240314_CMAK03.jpg
377,1st Construction VE·LCC Committee Meeting for 2024,2024/03/18,240311.jpg,240311.jpg
376,1st Board of Directors Meeting for 2024,2024/03/18,240222.jpg,240222.jpg
375,2024 Defense Installations Agency Military Installation Project Execution Plan Briefing,2024/03/18,240219.jpg,240219.jpg
374,Overseas Construction Market Expansion Meeting,2024/03/18,240123.jpg,240123.jpg
373,2023 Public Construction CM Service Order Status,2024/03/18,20240101.jpg,20240101.jpg
372,Publication of 2023 CM Capability Evaluation and Announcements Data Booklet,2023/12/22,2023_CMAK.jpg,2023_CMAK.jpg
371,16th CM Practioners Night,2023/12/22,231206_16.jpg,231206_16.jpg
370,The 1st CMP Certificate Presentation Ceremony for 2023,2023/12/22,231206_cmp.jpg,231206_cmp.jpg
369,The 15th CM Sector Issue Diagnosis Presentation,2023/12/22,231206_15.jpg,231206_15.jpg
368,18th CM Slogan Award Announcements,2023/12/22,,
367,Overseas Construction Market Expansion Meeting,2023/12/22,231107.jpg,231107.jpg
366,2023 Compliance Committee Meeting,2023/11/09,,
365,2023 3rd Quarter Public Construction CM Service Order Status,2023/11/09,2303_CM.jpeg,2303_CM.jpeg
364,The 1st CMP Qualification Examination 1st written test for 2023,2023/09/20,230917_CMP.jpg,230917_CMP.jpg
363,The 2nd Construction VE·LCC Committee Meeting for 2023,2023/09/20,230911_VELCC.jpg,230911_VELCC.jpg
362,CM Case Study Submissions for ConsMa 2024 and Global CM Contest,2023/09/14,Submission_form_Global_CM_Contest_2024.doc,Submission form Global CM Contest 2024.doc
361,Disclosure of Construction Management (CM) Capability Evaluation for 2023,2023/09/13,CM_Capability_Evaluation.jpg,CM Capability Evaluation.jpg
360,CMAK discusses cooperation plans for Capital Relocation Project with Indonesia,2023/09/13,230823.jpg,230823.jpg
359,2023 2nd Quarter Construction CM Service Order Status,2023/07/13,230704_CMAK01.gif,230704_CMAK01.gif
358,The 2nd Overseas Construction Market Expansion Meeting,2023/07/13,0706.jpg,0706.jpg
357,CM Capability Evaluation and Public Announcement Meeting for 2023,2023/06/30,230627.jpg,230627.jpg
356,The 1st Construction VE·LCC Committee Meeting for 2023,2023/06/22,,
355,Overseas Construction Market Expansion Meeting,2023/05/31,230524-1.jpg,230524-1.jpg
354,Construction Industry Outlook and Overseas Construction Market Expansion Briefing,2023/05/31,230524-2.jpg,230524-2.jpg
353,2023 First Quarter Construction CM Service Order Status,2023/05/31,2023-1.jpg,2023-1.jpg
352,ConsMa 2023 13th International CM Day & 10th CM Seoul Forum,2023/04/20,230411_eng.jpg,230411_eng.jpg
351,2023 Defense Installations Agency Military Installation Project Execution Plan Briefing,2023/03/20,eng__2_.jpg,eng (2).jpg
350,"The 26th General Meeting, 2023",2023/03/20,eng__3_.jpg,eng (3).jpg
349,2022 Public Construction CM Service Order Status,2023/03/20,eng__1_.jpg,eng (1).jpg
348,15th CM Practioners Night,2022/12/21,221208-2.jpg,221208-2.jpg
347,&quot;Issue Diagnosis for CM Sectors&quot; Presentation…First Offline Event in 3 Years,2022/12/21,221208-1.jpg,221208-1.jpg
346,"Publication of ""2022 CM Capability Evaluation and Announcements Data Booklet",2022/12/21,221201.jpg,221201.jpg
345,17th CM Slogan Award Announcements,2022/12/21,,
344,Meeting of Companies Interested in Venturing into Overseas Construction Markets,2022/12/21,221128.jpg,221128.jpg
343,The 16th CM Practioners Mountain Field Trip Discussion Meeting,2022/12/21,221028.jpg,221028.jpg
342,2nd Overseas Market Launch Committee Meeting for 2022,2022/12/21,221024.jpg,221024.jpg
341,2nd Board of Directors Meeting for 2022,2022/12/21,221012.jpg,221012.jpg
340,2nd Construction VE·LCC Committee Meeting for 2022,2022/12/21,221005.jpg,221005.jpg
339,Status of CM Service Orders for Public Works in the 3rd Quarter of 2022,2022/12/21,221001.jpg,221001.jpg
338,Disclosure of Construction Management (CM) Capability Evaluation of 2022,2022/09/16,220831.jpg,220831.jpg
337,Real Estate Development Business Mutual Cooperation Meeting,2022/09/16,220711.JPG,220711.JPG
336,Briefing Session on the Construction and Real Estate Market Prospects in the 2nd Half of 2022,2022/09/16,220706.jpg,220706.jpg
335,Status of CM Service Orders for Public Works in the 2nd Quarter of 2022,2022/09/16,220705.jpg,220705.jpg
334,Breakfast Meeting to Explore Ways to Expand the Market,2022/06/24,220616_CM.jpg,220616_CM.jpg
333,1st CM Future Strategy Special Committee Meeting,2022/06/24,20220617.jpg,20220617.jpg
332,1st Construction VE·LCC Committee Meeting,2022/06/24,220517.jpg,220517.jpg
331,1st Compliance Committee Meeting,2022/06/24,220427.jpg,220427.jpg
330,ConsMa 2022 - 12th International CM Day & 6th Global CM Contest,2022/06/24,0412__1_.jpg,0412 (1).jpg
329,Public construction CM orders amounted to 642.1 billion won in the first quarter of 2022,2022/06/24,220401.jpg,220401.jpg
328,The First Board of Directors Meeting for 2022,2022/03/24,0308.jpg,0308.jpg
327,2022 Meeting with Committee Chairmen and Administrative Secretaries,2022/03/24,0304.jpg,0304.jpg
326,2022 General Meeting for Korea CM Innovation Forum,2022/03/24,,
325,Results of a Survey on the Perception of Smart Construction Technology,2022/03/24,,
324,Status of CM Service Orders for Public Works in 2021,2022/03/24,2021eng.jpg,2021eng.jpg
323,Online Briefing Session for the 2022 CM Capability Evaluation and Disclosure,2021/12/21,,
322,CMAK and Yulchon host CM Issue Diagnosis Online Presentations,2021/12/21,,
321,16th CM Slogan Competition Awards,2021/12/21,,
320,Publication of 2021 CM Capability Evaluation and Disclosure Data Collection,2021/12/21,,
319,Outstanding CM Case Review Committee Meeting,2021/12/21,211125.jpg,211125.jpg
318,"3Q Public Construction CM Order Amount: 591.2 Billion Won, a 7% Decrease from the Previous Year",2021/12/21,211001.jpg,211001.jpg
317,1st Construction Manager Qualification Test for 2021,2021/09/23,,
316,Collection of CM Cases for the Global CM Contest,2021/09/23,,
315,Announcement of 2021 Construction Management (CM) Capability Evaluation,2021/09/23,210830.jpg,210830.jpg
314,"Establishment of a Database for ""CM Project Construction Whitepaper""",2021/09/23,,
313,"Publication of ""Research Report on the Project to Transfer CM System Overseas""",2021/09/23,210712.jpg,210712.jpg
312,2Q Public Construction CM Order Amount: 609.21 Billion Won,2021/09/23,210705.jpg,210705.jpg
311,Construction Industry in the Era of New Normal Following COVID-19 and Countermeasures,2021/06/18,,
310,ConsMa 2021 - 11th International CM Day Commemorative Event,2021/06/18,eng02.jpg,eng02.jpg
309,ConsMa 2021 - 9th CM Seoul Forum,2021/06/18,eng03.jpg,eng03.jpg
308,540.42 Billion won in CM Orders for Public Works in the 1st Quarter,2021/06/18,eng01.jpg,eng01.jpg
307,CMAK-Yulchon to host 「International CM Day」 Webinar on 8th April,2021/03/25,consma2021.jpg,consma2021.jpg
306,CMAK Appoints the 10th Executive Members,2021/03/25,,
305,"Bae Yung-hwi, Chairman of the CMAK, Re-elected as the 10th Chairman",2021/03/25,210311.jpg,210311.jpg
304,Public Construction CM Service in 2020,2021/03/25,,
303,The Announcement of 23 CM Professionals for 2020,2020/12/23,,
302,CMAKㆍYulchon Presentation &quot;Issue Diagnosis According to the CM Sectors&quot;,2020/12/23,1211.JPG,1211.JPG
301,Publication of &quot;2020 CM Capacity Appraisal and Announcements&quot;,2020/12/23,,
300,The 1st CMP Qualification Written Examination for 2020,2020/12/23,1108_7927.jpg,1108_7927.jpg
299,"15th CM Slogan Awards, ""Innovation in Construction Values, CM Completes It""",2020/12/23,,
298,Korea-Indonesia CM Conference,2020/12/23,1104.jpg,1104.jpg
297,"ConsMa 2021 Event, Submissions for CM Case Studies",2020/09/10,,
296,1st Construction Project Manager Qualification Test for 2020,2020/09/10,,
295,Announcement of 2020 CM Capacity appraisal,2020/09/10,,
294,10th International CM Day Celebratory Event,2020/09/10,0819.jpg,0819.jpg
293,Resumption of Issuance of the confirmation letter for CM Performance,2020/09/10,,
292,2020 Compliance Committee Regular Meeting,2020/09/10,0722.jpg,0722.jpg
291,Launch of Research Project for the transfer of the Korean CM System abroad,2020/09/10,,
290,2020 2nd Half Construction and Real Estate Market Outlook Briefing Session,2020/09/10,0708.jpg,0708.jpg
289,"Greetings from CMAK, Korea",2020/06/28,0601.jpg,0601.jpg
288,2020 Committee Meeting with Chairman and Administrative Secretary of each Committee,2020/06/28,0602_6837.jpg,0602_6837.jpg
287,Publication of a Research Report on the Expansion of Southeast Asia CM Supply Project,2020/06/28,,
286,1st Construction Manager Qualification Test for 2020,2020/06/28,,
285,1st Board Meeting for 2020,2020/03/03,200205.jpg,200205.jpg
284,Presentation on 2020 Economic and Construction Market Forecasts at Home and Abroad,2020/03/03,0130.jpg,0130.jpg
283,"China""s CPMC Expresses Interest in Participating in the Globalization of CM",2020/03/03,0115.jpg,0115.jpg
282,The Future is Not to Sit and Wait but Create for oneself,2020/01/03,New_Year_Message.pdf,New Year Message.pdf
281,CMAK Participates in ‘CM Vitalization Seminar’ held in Indonesia,2019/12/19,1216.jpg,1216.jpg
280,14th CM Practitioners’ Night,2019/12/17,1212-2.jpg,1212-2.jpg
279,Diagnosis of 2019 CM Issues,2019/12/17,1212-1.jpg,1212-1.jpg
